label,status,message,timestamp
,success,"AGENT: Starting run for TaskBot ""BAFA-Antrag stellen"", ID 40786. Buckle up!","Dec 06, 2024, 2:26:28 PM"
,success,AGENT: Your desktop agent version is 1.1.56. This version is up to date.,"Dec 06, 2024, 2:26:28 PM"
,success,"Open Link - building block id 1878430: Opened url ""https://fms.bafa.de/BafaFrame/v2/ubf3"".","Dec 06, 2024, 2:26:30 PM"
,success,"Click Web Element - building block id 1878547: Clicked on web element using CSS or XPath selector ""form[id='command'] > p > button"".","Dec 06, 2024, 2:26:33 PM"
,success,"Keyboard Action - building block id 1878548: Pressed the following keys:  ,  ,  ,  ","Dec 06, 2024, 2:26:34 PM"
,success,"Click Web Element - building block id 1878550: Clicked on web element using CSS or XPath selector ""label[id='dsgvoCheckboxLbl']"".","Dec 06, 2024, 2:26:35 PM"
,success,"Click Web Element - building block id 1878551: Clicked on web element using CSS or XPath selector ""button[id='next']"".","Dec 06, 2024, 2:26:36 PM"
,success,"Click Web Element - building block id 1878549: Clicked on web element using CSS or XPath selector ""div[id='authChoiceNONE'] > label > span"".","Dec 06, 2024, 2:26:38 PM"
,success,Keyboard Action - building block id 1878561: Pressed the following key:  ,"Dec 06, 2024, 2:26:39 PM"

,success,"Click Web Element - building block id 1878563: Clicked on web element using CSS or XPath selector ""button[id='next']"".","Dec 06, 2024, 2:26:40 PM"

,success,"Select Web Dropdown - building block id 1878566: Selected dropdown option ""Unternehmen"" using CSS or XPath selector ""select[id='antragsberechtigt']"".","Dec 06, 2024, 2:26:41 PM"
,success,"Insert Text or Data - building block id 1895238: Inserted ""ACME Inc."" using CSS or XPath selector ""input#organisation"".","Dec 06, 2024, 2:26:41 PM"
,success,"Anrede (Select Web Dropdown) - building block id 1895259: Selected dropdown option ""Herr"" using CSS or XPath selector ""select#anrede"".","Dec 06, 2024, 2:26:42 PM"
,success,Keyboard Action - building block id 1895270: Pressed the following key:  ,"Dec 06, 2024, 2:26:42 PM"
,success,"Vorname (Insert Text or Data) - building block id 1895260: Inserted ""Tom"" using CSS or XPath selector ""input#vorname"".","Dec 06, 2024, 2:26:43 PM"
,success,"Nachname (Insert Text or Data) - building block id 1895261: Inserted ""Tester"" using CSS or XPath selector ""input#nachname"".","Dec 06, 2024, 2:26:44 PM"
,success,"PLZ (Insert Text or Data) - building block id 1895262: Inserted ""12345"" using CSS or XPath selector ""input#plz"".","Dec 06, 2024, 2:26:45 PM"
,success,"Strasse (Insert Text or Data) - building block id 1895263: Inserted ""Musterstr."" using CSS or XPath selector ""input#strasse"".","Dec 06, 2024, 2:26:47 PM"
,success,"Nr. (Insert Text or Data) - building block id 1895264: Inserted ""1"" using CSS or XPath selector ""input#hnr"".","Dec 06, 2024, 2:26:48 PM"
,success,"Vorwahl (Insert Text or Data) - building block id 1895265: Inserted ""030"" using CSS or XPath selector ""input#telVorwahl"".","Dec 06, 2024, 2:26:49 PM"
